Predictor,Predictor Category,Knowledge Gap Category,Adjusted Standardized Residual,Raw p-value,FDR q-value,FDR Significant,Direction,Absolute Residual
Question Type,Commercial / Pricing,Public Documentation | Commercial Model | Pricing Template | SME,27.05910551936553,2.9844879009368533e-161,4.4170420933865424e-159,True,Over-represented,27.05910551936553
Presales Category,Security & Compliance,Public Documentation | Governance Framework | Risk Register | SME,17.647029115383333,1.0725173772984219e-69,7.936628592008321e-68,True,Over-represented,17.647029115383333
Question Type,Governance / Security,Public Documentation | Governance Framework | Risk Register | SME,15.226526208094421,2.357912300977979e-52,1.1632367351491363e-50,True,Over-represented,15.226526208094421
Question Type,Architecture,Public Documentation | Architecture Blueprint | Methodology | SME,15.16348144341699,6.1709692450860436e-52,2.283258620681836e-50,True,Over-represented,15.16348144341699
Presales Category,Solution Architecture,Public Documentation | Governance Framework | Risk Register | SME,-14.291553060458169,2.4703808979940726e-46,7.312327458062454e-45,True,Under-represented,14.291553060458169
Question Type,Commercial / Pricing,Public Documentation | Architecture Blueprint | Methodology | SME,-13.464618408709411,2.526199132474052e-41,6.231291193435995e-40,True,Under-represented,13.464618408709411
Question Intent,Estimate commercial impact,Public Documentation | Commercial Model | Pricing Template | SME,13.07816508436519,4.3890758211245444e-39,9.279760307520465e-38,True,Over-represented,13.07816508436519
Presales Category,Security & Compliance,Public Documentation | Architecture Blueprint | Methodology | SME,-12.943716144183691,2.549904115141508e-38,4.717322613011789e-37,True,Under-represented,12.943716144183691
Presales Category,Cost Optimization,Public Documentation | Commercial Model | Pricing Template | SME,12.354246812436498,4.6206342337872326e-35,7.598376295561227e-34,True,Over-represented,12.354246812436498
Presales Category,Solution Architecture,Public Documentation | Architecture Blueprint | Methodology | SME,12.139514930614883,6.5211471371242516e-34,9.651297762943892e-33,True,Over-represented,12.139514930614883
Question Type,Architecture,Public Documentation | Governance Framework | Risk Register | SME,-11.443641251103227,2.530379101568965e-30,3.404510063929153e-29,True,Under-represented,11.443641251103227
Presales Category,Data Platform,Public Documentation | Governance Framework | Risk Register | SME,11.430581234182903,2.9413335637975406e-30,3.6276447286836334e-29,True,Over-represented,11.430581234182903
Question Intent,Understand capability / terminology,Public Documentation,10.066257729035126,7.788537800267036e-24,8.866950726457856e-23,True,Over-represented,10.066257729035126
Question Type,Architecture,Public Documentation | Commercial Model | Pricing Template | SME,-9.640010568985094,5.4182397345780455e-22,5.727853433696791e-21,True,Under-represented,9.640010568985094
Question Type,Implementation,Public Documentation | Governance Framework | Risk Register | SME,8.637711748891894,5.735009565794899e-18,5.6585427715843e-17,True,Over-represented,8.637711748891894
Business Capability,Hybrid connectivity and network foundation,Public Documentation | Governance Framework | Risk Register | SME,-8.09360591283116,5.792388399844949e-16,5.357959269856577e-15,True,Under-represented,8.09360591283116
Business Capability,Hybrid connectivity and network foundation,Public Documentation | Architecture Blueprint | Methodology | SME,7.70743114036492,1.2837553210497346e-14,1.1176222795021218e-13,True,Over-represented,7.70743114036492
Question Type,Commercial / Pricing,Public Documentation | Governance Framework | Risk Register | SME,-7.597578475824392,3.017232527685323e-14,2.4808356338745986e-13,True,Under-represented,7.597578475824392
Business Capability,Financial governance / FinOps,Public Documentation | Commercial Model | Pricing Template | SME,7.281266947964451,3.306995548549165e-13,2.5759754799225077e-12,True,Over-represented,7.281266947964451
Question Type,Governance / Security,Public Documentation | Architecture Blueprint | Methodology | SME,-7.241322999491351,4.443287791900635e-13,3.2880329660064697e-12,True,Under-represented,7.241322999491351
Presales Category,Migration Assessment,Public Documentation | Architecture Blueprint | Methodology | SME,7.0579902255145095,1.6892793864192398e-12,1.1905397580478452e-11,True,Over-represented,7.0579902255145095
Question Complexity,High,Public Documentation | Governance Framework | Risk Register | SME,7.016634262616437,2.27276502537367e-12,1.52895101706956e-11,True,Over-represented,7.016634262616437
Question Complexity,Medium,Public Documentation | Governance Framework | Risk Register | SME,-6.025852013159721,1.6822105409921689e-09,1.0824659133340912e-08,True,Under-represented,6.025852013159721
Presales Category,Cost Optimization,Public Documentation | Architecture Blueprint | Methodology | SME,-6.00873543665131,1.8697594634004457e-09,1.1489280148566124e-08,True,Under-represented,6.00873543665131
Presales Category,Data Platform,Public Documentation | Architecture Blueprint | Methodology | SME,-6.002689387657938,1.9407567818523857e-09,1.1489280148566124e-08,True,Under-represented,6.002689387657938
Presales Category,Migration Assessment,Public Documentation | Governance Framework | Risk Register | SME,-5.700647353254546,1.1935331233868e-08,6.793957779278708e-08,True,Under-represented,5.700647353254546
Question Intent,Estimate commercial impact,Public Documentation | Architecture Blueprint | Methodology | SME,-5.614125480248501,1.9755881855003445e-08,1.0829150053853741e-07,True,Under-represented,5.614125480248501
Question Type,Best Practice,Public Documentation | Commercial Model | Pricing Template | SME,-5.4549989407891335,4.8973137402180764e-08,2.5436583156756113e-07,True,Under-represented,5.4549989407891335
Question Type,Informational,Public Documentation | Governance Framework | Risk Register | SME,5.451873334959574,4.9841953482832926e-08,2.5436583156756113e-07,True,Over-represented,5.451873334959574
Question Type,Governance / Security,Public Documentation | Commercial Model | Pricing Template | SME,-5.401927056875526,6.592876073939017e-08,3.252485529809915e-07,True,Under-represented,5.401927056875526
Question Intent,Understand capability / terminology,Public Documentation | Architecture Blueprint | Methodology | SME,-5.379106306814329,7.48564992341027e-08,3.573794156982968e-07,True,Under-represented,5.379106306814329
Presales Category,Vendor Evaluation,Public Documentation,5.095701554475836,3.4745213126257207e-07,1.6069661070893957e-06,True,Over-represented,5.095701554475836
Question Intent,Determine implementation approach,Public Documentation,-4.984028963789666,6.227375154883572e-07,2.7928834027962687e-06,True,Under-represented,4.984028963789666
Business Capability,"Risk, compliance and identity control",Public Documentation | Governance Framework | Risk Register | SME,4.942700373790454,7.704785039700615e-07,3.353847605516738e-06,True,Over-represented,4.942700373790454
Presales Category,Resilience / DR,Public Documentation | Architecture Blueprint | Methodology | SME,4.805555746455945,1.5432222961227057e-06,6.52562570931887e-06,True,Over-represented,4.805555746455945
Presales Category,AI / GenAI,Public Documentation | Governance Framework | Risk Register | SME,4.649686360108113,3.324401806267024e-06,1.3666985203542209e-05,True,Over-represented,4.649686360108113
Question Type,Best Practice,Public Documentation | Architecture Blueprint | Methodology | SME,4.563413127404246,5.032864047423153e-06,2.0131456189692613e-05,True,Over-represented,4.563413127404246
Presales Category,Operations,Public Documentation,4.555189939135875,5.233826426372214e-06,2.0384376607975992e-05,True,Over-represented,4.555189939135875
Question Type,Informational,Public Documentation | Architecture Blueprint | Methodology | SME,-4.054402683390375,5.0262569267793645e-05,0.00019074000645214002,True,Under-represented,4.054402683390375
Business Capability,AI-enabled business capability,Public Documentation | Governance Framework | Risk Register | SME,3.9585616842816127,7.540246845760113e-05,0.00027898913329312415,True,Over-represented,3.9585616842816127
Business Capability,IT operations and observability,Public Documentation,3.9427106465484116,8.056583480694671e-05,0.0002908230134494662,True,Over-represented,3.9427106465484116
Question Type,Migration,Public Documentation | Architecture Blueprint | Methodology | SME,3.81004943932844,0.00013893900482392417,0.00048333138260005205,True,Over-represented,3.81004943932844
Business Capability,Enterprise data and analytics,Public Documentation | Governance Framework | Risk Register | SME,3.805777798873537,0.00014135925051443998,0.00048333138260005205,True,Over-represented,3.805777798873537
Business Capability,Digital platform delivery,Public Documentation | Architecture Blueprint | Methodology | SME,-3.8017233651553752,0.00014369311374596143,0.00048333138260005205,True,Under-represented,3.8017233651553752
Question Type,Informational,Public Documentation | Commercial Model | Pricing Template | SME,-3.7880884394324967,0.000151810814038624,0.0004992888995048078,True,Under-represented,3.7880884394324967
Question Complexity,Medium,Public Documentation | Architecture Blueprint | Methodology | SME,3.7469403035679183,0.00017900466439949237,0.0005759280506766277,True,Over-represented,3.7469403035679183
Question Intent,Determine implementation approach,Public Documentation | Governance Framework | Risk Register | SME,3.7167397373905797,0.0002018101432896762,0.0006354872597206826,True,Over-represented,3.7167397373905797
Business Capability,Cloud migration and modernization,Public Documentation | Architecture Blueprint | Methodology | SME,3.677770550948825,0.00023528145986146713,0.0007254511679061903,True,Over-represented,3.677770550948825
Question Type,Implementation,Public Documentation | Architecture Blueprint | Methodology | SME,-3.6484048655748436,0.00026387357868744326,0.0007970059111375837,True,Under-represented,3.6484048655748436
