antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Antecedent,Knowledge_Gap
"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Question Complexity=High'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.20333333333333334,0.45666666666666667,0.16666666666666666,0.8196721311475409,1.794902476965418,1.0,0.0738111111111111,3.0130303030303014,0.5558995815899581,0.3378378378378378,0.6681082168359649,0.5923178173985879,Presales Category=Solution Architecture + Question Complexity=High + Question Type=Architecture,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Presales Category=Solution Architecture', 'Question Complexity=High', 'Business Capability=Risk, compliance and identity control'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.18444444444444444,0.45666666666666667,0.12666666666666668,0.6867469879518073,1.503825521062352,1.0,0.04243703703703705,1.7344871794871801,0.41079879535350644,0.24622030237581,0.4234607140217313,0.48205962536276503,"Business Capability=Risk, compliance and identity control + Presales Category=Solution Architecture + Question Complexity=High",Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Complexity=High', 'Presales Category=Security & Compliance', 'Business Capability=Risk, compliance and identity control'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.1922222222222222,0.2111111111111111,0.11888888888888889,0.6184971098265897,2.9297231518101614,1.0,0.07830864197530865,2.0678451178451183,0.8154109192816466,0.41796875,0.5164047871041277,0.5908275022817159,"Business Capability=Risk, compliance and identity control + Presales Category=Security & Compliance + Question Complexity=High",Public Documentation | Governance Framework | Risk Register | SME
"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Business Capability=Hybrid connectivity and network foundation'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.15222222222222223,0.45666666666666667,0.11555555555555555,0.7591240875912408,1.6623155202727902,1.0,0.04604074074074073,2.2556565656565652,0.46996925093255365,0.2342342342342342,0.5566700998611794,0.5060827250608272,Business Capability=Hybrid connectivity and network foundation + Presales Category=Solution Architecture + Question Type=Architecture,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Intent=Request presales guidance', 'Question Type=Architecture', 'Presales Category=Solution Architecture'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.14444444444444443,0.45666666666666667,0.11,0.7615384615384616,1.6676024705221788,1.0,0.04403703703703704,2.2784946236559147,0.46792601338055884,0.22398190045248867,0.5611137328928741,0.5012071869736103,Presales Category=Solution Architecture + Question Intent=Request presales guidance + Question Type=Architecture,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Type=Architecture', 'Question Complexity=High', 'Business Capability=Risk, compliance and identity control'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.1288888888888889,0.45666666666666667,0.10444444444444445,0.810344827586207,1.774477724641329,1.0,0.045585185185185194,2.8648484848484856,0.5010312635692575,0.21709006928406466,0.6509414004654116,0.5195276449366558,"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Type=Architecture",Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Complexity=High', 'Presales Category=Security & Compliance', 'Question Type=Governance / Security'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.12666666666666668,0.2111111111111111,0.1,0.7894736842105263,3.7396121883656512,1.0,0.07325925925925926,3.7472222222222222,0.8388464800678541,0.4205607476635514,0.7331356560415122,0.631578947368421,Presales Category=Security & Compliance + Question Complexity=High + Question Type=Governance / Security,Public Documentation | Governance Framework | Risk Register | SME
"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Business Capability=Risk, compliance and identity control'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.11777777777777777,0.45666666666666667,0.09555555555555556,0.8113207547169812,1.7766147913510537,1.0,0.041770370370370374,2.8796666666666675,0.4954894265127995,0.19953596287703018,0.652737585368677,0.5102832484047193,"Business Capability=Risk, compliance and identity control + Presales Category=Solution Architecture + Question Type=Architecture",Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Intent=Request presales guidance', 'Presales Category=Solution Architecture', 'Question Complexity=High'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.12222222222222222,0.45666666666666667,0.09222222222222222,0.7545454545454545,1.6522893165228931,1.0,0.03640740740740741,2.21358024691358,0.44974836053073053,0.18949771689497716,0.5482431678750697,0.4782459632824596,Presales Category=Solution Architecture + Question Complexity=High + Question Intent=Request presales guidance,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Intent=Request presales guidance', 'Question Type=Architecture', 'Question Complexity=High'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.10333333333333333,0.45666666666666667,0.08222222222222222,0.7956989247311829,1.7424064045208385,1.0,0.03503333333333333,2.659473684210527,0.4751833618004621,0.17209302325581394,0.6239857510389869,0.48787379326583474,Question Complexity=High + Question Intent=Request presales guidance + Question Type=Architecture,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Type=Architecture', 'Question Complexity=Medium', 'Business Capability=Hybrid connectivity and network foundation'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.10222222222222223,0.45666666666666667,0.0811111111111111,0.7934782608695651,1.7375436369406534,1.0,0.03442962962962962,2.6308771929824544,0.4728061847280618,0.1697674418604651,0.6198986396372363,0.4855469163228604,Business Capability=Hybrid connectivity and network foundation + Question Complexity=Medium + Question Type=Architecture,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Question Intent=Determine implementation approach'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.0811111111111111,0.45666666666666667,0.08,0.9863013698630138,2.1597840215978406,1.0,0.042959259259259266,39.6633333333335,0.5843913744457881,0.17475728155339806,0.9747877972938903,0.5807419258074193,Presales Category=Solution Architecture + Question Intent=Determine implementation approach + Question Type=Architecture,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Presales Category=Solution Architecture', 'Question Complexity=Medium', 'Business Capability=Hybrid connectivity and network foundation'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.10888888888888888,0.45666666666666667,0.07777777777777778,0.7142857142857143,1.5641293013555788,1.0,0.028051851851851856,1.9016666666666668,0.4047381546134664,0.1594533029612756,0.4741454864154251,0.44230100799443867,Business Capability=Hybrid connectivity and network foundation + Presales Category=Solution Architecture + Question Complexity=Medium,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Business Capability=Risk, compliance and identity control', 'Presales Category=Security & Compliance', 'Question Type=Governance / Security'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.09888888888888889,0.2111111111111111,0.07777777777777778,0.7865168539325843,3.7256061502069784,1.0,0.056901234567901235,3.695321637426901,0.811872467852739,0.3349282296650718,0.7293875613229942,0.5774689532820816,"Business Capability=Risk, compliance and identity control + Presales Category=Security & Compliance + Question Type=Governance / Security",Public Documentation | Governance Framework | Risk Register | SME
"frozenset({'Business Capability=Risk, compliance and identity control', 'Question Complexity=High', 'Question Type=Governance / Security'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.10222222222222223,0.2111111111111111,0.07777777777777778,0.7608695652173912,3.6041189931350113,1.0,0.05619753086419753,3.298989898989898,0.8048090523338048,0.330188679245283,0.696876913655848,0.5646453089244851,"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Type=Governance / Security",Public Documentation | Governance Framework | Risk Register | SME
"frozenset({'Question Intent=Request presales guidance', 'Question Type=Architecture', 'Business Capability=Hybrid connectivity and network foundation'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.09333333333333334,0.45666666666666667,0.07111111111111111,0.7619047619047619,1.6684045881126173,1.0,0.02848888888888889,2.2819999999999996,0.44186580882352944,0.14849187935034802,0.5617879053461875,0.45881126173096975,Business Capability=Hybrid connectivity and network foundation + Question Intent=Request presales guidance + Question Type=Architecture,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Intent=Request presales guidance', 'Question Complexity=High', 'Business Capability=Risk, compliance and identity control'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.16555555555555557,0.45666666666666667,0.07,0.4228187919463087,0.9258805663057855,1.0,-0.005603703703703708,0.9413565891472867,-0.08753760703540854,0.12676056338028172,-0.06229670193930909,0.2880517317395777,"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Intent=Request presales guidance",Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Type=Commercial / Pricing', 'Question Complexity=High', 'Business Capability=Risk, compliance and identity control'})",frozenset({'Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME'}),0.07444444444444444,0.17,0.06777777777777778,0.91044776119403,5.355575065847235,1.0,0.055122222222222225,9.268333333333352,0.8786924605907936,0.38364779874213834,0.8921057363783494,0.6545702858257731,"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Type=Commercial / Pricing",Public Documentation | Commercial Model | Pricing Template | SME
"frozenset({'Presales Category=Solution Architecture', 'Question Type=Architecture', 'Question Complexity=Medium'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.08777777777777777,0.45666666666666667,0.06777777777777778,0.7721518987341773,1.6908435738704612,1.0,0.027692592592592602,2.384629629629631,0.4478944110540925,0.1421911421911422,0.5806476663819214,0.46028519510918114,Presales Category=Solution Architecture + Question Complexity=Medium + Question Type=Architecture,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Intent=Request presales guidance', 'Presales Category=Solution Architecture', 'Business Capability=Hybrid connectivity and network foundation'})",frozenset({'Knowledge Gap=Public Documentation | Architecture Blueprint | Methodology | SME'}),0.09444444444444444,0.45666666666666667,0.06555555555555556,0.6941176470588236,1.5199656504937744,1.0,0.022425925925925932,1.7762820512820519,0.3777685348861392,0.13501144164759726,0.43702634428004344,0.4188349792471734,Business Capability=Hybrid connectivity and network foundation + Presales Category=Solution Architecture + Question Intent=Request presales guidance,Public Documentation | Architecture Blueprint | Methodology | SME
"frozenset({'Question Intent=Request presales guidance', 'Presales Category=Security & Compliance', 'Question Complexity=High'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.09666666666666666,0.2111111111111111,0.06444444444444444,0.6666666666666666,3.1578947368421053,1.0,0.04403703703703704,2.3666666666666663,0.756457564575646,0.2648401826484018,0.5774647887323943,0.4859649122807017,Presales Category=Security & Compliance + Question Complexity=High + Question Intent=Request presales guidance,Public Documentation | Governance Framework | Risk Register | SME
