Antecedent,Knowledge_Gap,Support,Confidence,Lift,Support_%,Confidence_%,Frequency,Antecedent_Size
"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Type=Commercial / Pricing",Public Documentation | Commercial Model | Pricing Template | SME,0.06777777777777778,0.91044776119403,5.355575065847235,6.777777777777779,91.044776119403,61,3
"Business Capability=Risk, compliance and identity control + Question Type=Commercial / Pricing",Public Documentation | Commercial Model | Pricing Template | SME,0.06777777777777778,0.91044776119403,5.355575065847235,6.777777777777779,91.044776119403,61,2
Question Type=Commercial / Pricing,Public Documentation | Commercial Model | Pricing Template | SME,0.16666666666666666,0.8620689655172413,5.0709939148073016,16.666666666666664,86.20689655172413,150,1
Presales Category=Solution Architecture + Question Type=Commercial / Pricing,Public Documentation | Commercial Model | Pricing Template | SME,0.06,0.857142857142857,5.042016806722688,6.0,85.7142857142857,54,2
Question Complexity=High + Question Type=Commercial / Pricing,Public Documentation | Commercial Model | Pricing Template | SME,0.12333333333333334,0.8409090909090909,4.946524064171123,12.333333333333334,84.0909090909091,111,2
Presales Category=Security & Compliance + Question Complexity=High + Question Type=Governance / Security,Public Documentation | Governance Framework | Risk Register | SME,0.1,0.7894736842105263,3.7396121883656512,10.0,78.94736842105263,90,3
Presales Category=Security & Compliance + Question Type=Governance / Security,Public Documentation | Governance Framework | Risk Register | SME,0.1,0.7894736842105263,3.7396121883656512,10.0,78.94736842105263,90,2
"Business Capability=Risk, compliance and identity control + Presales Category=Security & Compliance + Question Type=Governance / Security",Public Documentation | Governance Framework | Risk Register | SME,0.07777777777777778,0.7865168539325843,3.7256061502069784,7.777777777777778,78.65168539325843,70,3
"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Type=Governance / Security",Public Documentation | Governance Framework | Risk Register | SME,0.07777777777777778,0.7608695652173912,3.6041189931350113,7.777777777777778,76.08695652173913,70,3
"Business Capability=Risk, compliance and identity control + Question Type=Governance / Security",Public Documentation | Governance Framework | Risk Register | SME,0.07777777777777778,0.7608695652173912,3.6041189931350113,7.777777777777778,76.08695652173913,70,2
Question Complexity=High + Question Type=Governance / Security,Public Documentation | Governance Framework | Risk Register | SME,0.1,0.743801652892562,3.52327098738582,10.0,74.3801652892562,90,2
Question Type=Governance / Security,Public Documentation | Governance Framework | Risk Register | SME,0.1,0.7317073170731708,3.4659820282413354,10.0,73.17073170731709,90,1
Presales Category=Security & Compliance + Question Complexity=High + Question Intent=Determine implementation approach,Public Documentation | Governance Framework | Risk Register | SME,0.052222222222222225,0.7230769230769232,3.4251012145748994,5.222222222222222,72.30769230769232,47,3
Presales Category=Security & Compliance + Question Intent=Determine implementation approach,Public Documentation | Governance Framework | Risk Register | SME,0.052222222222222225,0.7230769230769232,3.4251012145748994,5.222222222222222,72.30769230769232,47,2
Presales Category=Security & Compliance + Question Complexity=High + Question Intent=Request presales guidance,Public Documentation | Governance Framework | Risk Register | SME,0.06444444444444444,0.6666666666666666,3.1578947368421053,6.444444444444445,66.66666666666666,58,3
Presales Category=Security & Compliance + Question Intent=Request presales guidance,Public Documentation | Governance Framework | Risk Register | SME,0.06444444444444444,0.6666666666666666,3.1578947368421053,6.444444444444445,66.66666666666666,58,2
