antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Antecedent,Knowledge_Gap,Fisher_p_value,Odds_Ratio,FDR_q_value,FDR_Significant
"frozenset({'Question Type=Commercial / Pricing', 'Question Complexity=High', 'Business Capability=Risk, compliance and identity control'})",frozenset({'Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME'}),0.07444444444444444,0.17,0.06777777777777778,0.91044776119403,5.355575065847235,1.0,0.055122222222222225,9.268333333333352,0.8786924605907936,0.38364779874213834,0.8921057363783494,0.6545702858257731,"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Type=Commercial / Pricing",Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME,4.0098347475984244e-45,81.88586956521739,2.5395620068123357e-44,True
"frozenset({'Question Type=Commercial / Pricing', 'Business Capability=Risk, compliance and identity control'})",frozenset({'Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME'}),0.07444444444444444,0.17,0.06777777777777778,0.91044776119403,5.355575065847235,1.0,0.055122222222222225,9.268333333333352,0.8786924605907936,0.38364779874213834,0.8921057363783494,0.6545702858257731,"Business Capability=Risk, compliance and identity control + Question Type=Commercial / Pricing",Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME,4.0098347475984244e-45,81.88586956521739,2.5395620068123357e-44,True
frozenset({'Question Type=Commercial / Pricing'}),frozenset({'Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME'}),0.19333333333333333,0.17,0.16666666666666666,0.8620689655172413,5.0709939148073016,1.0,0.13379999999999997,6.017499999999997,0.9952066115702479,0.8474576271186439,0.8338180307436642,0.9212305611899931,Question Type=Commercial / Pricing,Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME,2.1022785799227875e-140,1506.25,1.198298790555989e-138,True
"frozenset({'Presales Category=Solution Architecture', 'Question Type=Commercial / Pricing'})",frozenset({'Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME'}),0.07,0.17,0.06,0.857142857142857,5.042016806722688,1.0,0.0481,5.809999999999993,0.8620071684587813,0.33333333333333326,0.8278829604130807,0.6050420168067225,Presales Category=Solution Architecture + Question Type=Commercial / Pricing,Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME,2.527997553350879e-36,44.72727272727273,9.606390702733341e-36,True
"frozenset({'Question Type=Commercial / Pricing', 'Question Complexity=High'})",frozenset({'Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME'}),0.14666666666666667,0.17,0.12333333333333334,0.8409090909090909,4.946524064171123,1.0,0.0984,5.217142857142858,0.9349662162162162,0.6379310344827588,0.8083242059145674,0.7831996434937611,Question Complexity=High + Question Type=Commercial / Pricing,Knowledge Gap=Public Documentation | Commercial Model | Pricing Template | SME,7.970997098618086e-84,91.36734693877551,2.2717341731061547e-82,True
"frozenset({'Question Complexity=High', 'Presales Category=Security & Compliance', 'Question Type=Governance / Security'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.12666666666666668,0.2111111111111111,0.1,0.7894736842105263,3.7396121883656512,1.0,0.07325925925925926,3.7472222222222222,0.8388464800678541,0.4205607476635514,0.7331356560415122,0.631578947368421,Presales Category=Security & Compliance + Question Complexity=High + Question Type=Governance / Security,Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME,1.5745471952969005e-47,25.725,1.2821312875989048e-46,True
"frozenset({'Presales Category=Security & Compliance', 'Question Type=Governance / Security'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.12666666666666668,0.2111111111111111,0.1,0.7894736842105263,3.7396121883656512,1.0,0.07325925925925926,3.7472222222222222,0.8388464800678541,0.4205607476635514,0.7331356560415122,0.631578947368421,Presales Category=Security & Compliance + Question Type=Governance / Security,Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME,1.5745471952969005e-47,25.725,1.2821312875989048e-46,True
"frozenset({'Business Capability=Risk, compliance and identity control', 'Presales Category=Security & Compliance', 'Question Type=Governance / Security'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.09888888888888889,0.2111111111111111,0.07777777777777778,0.7865168539325843,3.7256061502069784,1.0,0.056901234567901235,3.695321637426901,0.811872467852739,0.3349282296650718,0.7293875613229942,0.5774689532820816,"Business Capability=Risk, compliance and identity control + Presales Category=Security & Compliance + Question Type=Governance / Security",Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME,2.1423814174308578e-35,21.214912280701753,7.632233799597432e-35,True
"frozenset({'Business Capability=Risk, compliance and identity control', 'Question Complexity=High', 'Question Type=Governance / Security'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.10222222222222223,0.2111111111111111,0.07777777777777778,0.7608695652173912,3.6041189931350113,1.0,0.05619753086419753,3.298989898989898,0.8048090523338048,0.330188679245283,0.696876913655848,0.5646453089244851,"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Type=Governance / Security",Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME,1.0884967647894911e-33,18.242424242424242,3.446906421833389e-33,True
"frozenset({'Business Capability=Risk, compliance and identity control', 'Question Type=Governance / Security'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.10222222222222223,0.2111111111111111,0.07777777777777778,0.7608695652173912,3.6041189931350113,1.0,0.05619753086419753,3.298989898989898,0.8048090523338048,0.330188679245283,0.696876913655848,0.5646453089244851,"Business Capability=Risk, compliance and identity control + Question Type=Governance / Security",Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME,1.0884967647894911e-33,18.242424242424242,3.446906421833389e-33,True
"frozenset({'Question Complexity=High', 'Question Type=Governance / Security'})",frozenset({'Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME'}),0.13444444444444445,0.2111111111111111,0.1,0.743801652892562,3.52327098738582,1.0,0.07161728395061728,3.07921146953405,0.8274140636143203,0.4072398190045249,0.675241531835642,0.6087429317094388,Question Complexity=High + Question Type=Governance / Security,Knowledge Gap=Public Documentation | Governance Framework | Risk Register | SME,1.4705679035437853e-43,19.712903225806453,8.382237050199576e-43,True
